worker_id,worker_name,gig_segment,account_tenure_days,kyc_tier,gender,age_band,risk_score,is_active,preferred_channel
val_0,Ngozi Eze,Delivery Rider,618,Tier 0 (Unverified),Male,55+,34.75549783,FALSE,Web
val_1,Sipho Dlamini,Ride-Hailing Driver,398,Tier 2 (ID Verified),Non-Binary,45-54,10.28072431,FALSE,Agent
val_2,Nana Adjei,On-Demand Handyman,950,Tier 2 (ID Verified),Male,35-44,30.20684661,TRUE,Web
val_3,Mary Wairimu,Agricultural Day Labourer,1210,Tier 2 (ID Verified),Non-Binary,18-24,80.67063523,FALSE,Mobile App (Android)
val_4,Mary Wairimu,Informal Vendor,477,Tier 2 (ID Verified),Non-Binary,18-24,49.3479533,FALSE,Mobile App (Android)
val_5,Lungelo Zulu,Tutor / Private Instructor,1400,Tier 0 (Unverified),Male,25-34,17.15727755,TRUE,USSD
val_6,Ngozi Eze,E-commerce Reseller,1166,Tier 1 (Phone Verified),Female,35-44,31.26323726,TRUE,Web
val_7,Efua Antwi,Logistics Driver (Truck/Van),304,Tier 1 (Phone Verified),Male,55+,95.35812797,TRUE,Web
val_8,Yusuf Musa,Agricultural Day Labourer,1713,Tier 3 (Address + Income Verified),Non-Binary,18-24,43.19574881,FALSE,Mobile App (Android)
val_9,Ngozi Eze,Freelance Creative,80,Tier 2 (ID Verified),Female,35-44,44.15992548,FALSE,Mobile App (iOS)
val_10,Ama Owusu,Logistics Driver (Truck/Van),1193,Tier 2 (ID Verified),Female,25-34,15.3069602,FALSE,Agent
val_11,Thandeka Mthembu,Ride-Hailing Driver,802,Tier 2 (ID Verified),Male,18-24,30.45543046,TRUE,Web
val_12,Adwoa Acheampong,Domestic Worker,1193,Tier 1 (Phone Verified),Female,45-54,81.46861329,TRUE,Mobile App (Android)
val_13,Sipho Dlamini,Tutor / Private Instructor,1413,Tier 3 (Address + Income Verified),Female,45-54,78.61989744,FALSE,Mobile App (iOS)
val_14,Kojo Ofori,On-Demand Handyman,1254,Tier 2 (ID Verified),Male,55+,43.54987989,TRUE,Mobile App (Android)
val_15,Nomvula Khumalo,Tutor / Private Instructor,1188,Tier 3 (Address + Income Verified),Prefer Not to Say,35-44,89.36522622,FALSE,Web
val_16,Kwame Asante,Ride-Hailing Driver,1535,Tier 2 (ID Verified),Female,25-34,38.02589171,TRUE,WhatsApp Bot
val_17,Amara Nwosu,E-commerce Reseller,1281,Tier 2 (ID Verified),Male,55+,86.43295798,FALSE,Web
val_18,Zanele Mokoena,Informal Vendor,1485,Tier 0 (Unverified),Non-Binary,25-34,3.156555058,TRUE,Web
val_19,James Kipkoech,On-Demand Handyman,735,Tier 2 (ID Verified),Female,45-54,34.72302902,TRUE,Web
val_20,Kwame Asante,Online Freelancer (Tech/Design),370,Tier 0 (Unverified),Female,55+,85.5068478,TRUE,WhatsApp Bot
val_21,David Mwangi,Mobile Money Agent,429,Tier 2 (ID Verified),Non-Binary,18-24,90.13095615,TRUE,Mobile App (iOS)
val_22,Fatima Abdullahi,Agricultural Day Labourer,1117,Tier 2 (ID Verified),Male,55+,75.64240412,FALSE,Mobile App (Android)
val_23,Bongani Ndlovu,Mobile Money Agent,971,Tier 2 (ID Verified),Non-Binary,25-34,66.98658169,FALSE,WhatsApp Bot
val_24,Nomvula Khumalo,Online Freelancer (Tech/Design),140,Tier 1 (Phone Verified),Male,35-44,81.55049095,FALSE,USSD
val_25,Akosua Sarpong,Motorcycle Taxi Rider (Boda-Boda/Okada),373,Tier 0 (Unverified),Male,25-34,70.75581882,TRUE,Mobile App (iOS)
val_26,Kevin Odhiambo,Food Delivery Courier,1766,Tier 2 (ID Verified),Male,18-24,25.42209545,FALSE,Web
val_27,Thabo Nkosi,Motorcycle Taxi Rider (Boda-Boda/Okada),1326,Tier 2 (ID Verified),Male,45-54,46.62369007,FALSE,Web
val_28,Ama Owusu,Agricultural Day Labourer,1378,Tier 1 (Phone Verified),Female,35-44,66.07049979,TRUE,Web
val_29,Mary Wairimu,Food Delivery Courier,359,Tier 2 (ID Verified),Prefer Not to Say,35-44,58.78027571,TRUE,Mobile App (iOS)
val_30,James Kipkoech,Freelance Creative,117,Tier 3 (Address + Income Verified),Prefer Not to Say,35-44,88.50976071,TRUE,WhatsApp Bot
val_31,Chidinma Okeke,Logistics Driver (Truck/Van),531,Tier 2 (ID Verified),Male,45-54,47.38446404,TRUE,Mobile App (Android)
val_32,Ngozi Eze,Market Trader,1564,Tier 0 (Unverified),Prefer Not to Say,55+,17.7987378,FALSE,USSD
val_33,Kofi Mensah,Delivery Rider,924,Tier 3 (Address + Income Verified),Non-Binary,35-44,21.45820374,TRUE,Agent
val_34,Palesa Motsepe,Ride-Hailing Driver,1432,Tier 1 (Phone Verified),Non-Binary,18-24,84.60565589,TRUE,Mobile App (Android)
val_35,Tunde Adeyemi,Food Delivery Courier,888,Tier 2 (ID Verified),Prefer Not to Say,25-34,0.872095422,TRUE,Mobile App (iOS)
val_36,Lungelo Zulu,Online Freelancer (Tech/Design),895,Tier 3 (Address + Income Verified),Female,35-44,86.9130362,TRUE,Mobile App (iOS)
val_37,Zanele Mokoena,Domestic Worker,1097,Tier 1 (Phone Verified),Female,18-24,5.55880856,FALSE,Mobile App (Android)
val_38,Grace Wanjiku,Tutor / Private Instructor,1751,Tier 2 (ID Verified),Non-Binary,25-34,39.16584681,TRUE,WhatsApp Bot
val_39,Akosua Sarpong,Food Delivery Courier,798,Tier 0 (Unverified),Non-Binary,25-34,80.01762274,FALSE,Mobile App (iOS)
val_40,Emeka Obi,Market Trader,1087,Tier 3 (Address + Income Verified),Non-Binary,55+,40.76153768,FALSE,Web
val_41,Sipho Dlamini,Delivery Rider,1678,Tier 0 (Unverified),Male,35-44,82.23481871,FALSE,USSD
val_42,Kojo Ofori,Market Trader,679,Tier 2 (ID Verified),Prefer Not to Say,55+,10.02988345,TRUE,WhatsApp Bot
val_43,David Mwangi,Domestic Worker,1533,Tier 1 (Phone Verified),Female,35-44,51.15422264,FALSE,WhatsApp Bot
val_44,Tunde Adeyemi,Logistics Driver (Truck/Van),977,Tier 0 (Unverified),Prefer Not to Say,35-44,58.2474018,TRUE,USSD
val_45,Lerato Molefe,Market Trader,1605,Tier 1 (Phone Verified),Female,55+,89.08685972,TRUE,Agent
val_46,Mary Wairimu,Informal Vendor,854,Tier 3 (Address + Income Verified),Male,45-54,9.362140634,TRUE,Agent
val_47,Palesa Motsepe,On-Demand Handyman,1149,Tier 0 (Unverified),Prefer Not to Say,25-34,33.86006853,TRUE,Mobile App (Android)
val_48,Efua Antwi,Freelance Creative,590,Tier 1 (Phone Verified),Non-Binary,25-34,65.93480949,TRUE,Web
val_49,Nomvula Khumalo,Online Freelancer (Tech/Design),1159,Tier 0 (Unverified),Male,45-54,97.99300819,FALSE,Web
val_50,Sipho Dlamini,Mobile Money Agent,595,Tier 0 (Unverified),Male,18-24,84.8274324,FALSE,WhatsApp Bot
val_51,Fatima Abdullahi,Delivery Rider,1112,Tier 0 (Unverified),Male,18-24,84.64950617,TRUE,Agent
val_52,David Mwangi,Tutor / Private Instructor,1440,Tier 2 (ID Verified),Male,18-24,51.71825294,TRUE,Web
val_53,James Kipkoech,Online Freelancer (Tech/Design),794,Tier 3 (Address + Income Verified),Prefer Not to Say,45-54,56.42991221,TRUE,Web
val_54,Lydia Chebet,Ride-Hailing Driver,783,Tier 2 (ID Verified),Male,35-44,85.85800941,TRUE,Web
val_55,Aisha Bello,Online Freelancer (Tech/Design),588,Tier 3 (Address + Income Verified),Male,18-24,86.96255863,TRUE,Agent
val_56,Ama Owusu,Tutor / Private Instructor,1333,Tier 2 (ID Verified),Prefer Not to Say,45-54,80.22745655,FALSE,Web
val_57,Emeka Obi,Logistics Driver (Truck/Van),1080,Tier 1 (Phone Verified),Prefer Not to Say,45-54,81.85712752,FALSE,USSD
val_58,Adwoa Acheampong,Food Delivery Courier,943,Tier 3 (Address + Income Verified),Male,45-54,87.9629859,FALSE,Agent
val_59,Efua Antwi,On-Demand Handyman,46,Tier 0 (Unverified),Non-Binary,18-24,11.37819311,TRUE,Mobile App (Android)
val_60,Mpho Sithole,Domestic Worker,201,Tier 2 (ID Verified),Non-Binary,55+,29.26393769,FALSE,Mobile App (iOS)
val_61,Adwoa Acheampong,On-Demand Handyman,13,Tier 0 (Unverified),Non-Binary,18-24,97.6113534,TRUE,Web
val_62,David Mwangi,On-Demand Handyman,1552,Tier 3 (Address + Income Verified),Female,35-44,54.477616,FALSE,USSD
val_63,Lerato Molefe,On-Demand Handyman,1555,Tier 0 (Unverified),Prefer Not to Say,35-44,17.646386,FALSE,Web
val_64,Kevin Odhiambo,E-commerce Reseller,124,Tier 0 (Unverified),Prefer Not to Say,25-34,50.30556332,TRUE,Mobile App (Android)
val_65,Esther Njeri,Agricultural Day Labourer,84,Tier 1 (Phone Verified),Non-Binary,25-34,64.57841753,FALSE,Web
val_66,Mpho Sithole,E-commerce Reseller,1426,Tier 2 (ID Verified),Prefer Not to Say,18-24,82.82219839,TRUE,Web
val_67,David Mwangi,Ride-Hailing Driver,958,Tier 0 (Unverified),Male,35-44,81.2176726,TRUE,USSD
val_68,Ngozi Eze,Ride-Hailing Driver,564,Tier 1 (Phone Verified),Non-Binary,45-54,4.924149333,FALSE,Mobile App (Android)
val_69,James Kipkoech,Tutor / Private Instructor,1122,Tier 1 (Phone Verified),Prefer Not to Say,25-34,45.3524987,FALSE,Web
val_70,Nomvula Khumalo,Online Freelancer (Tech/Design),431,Tier 2 (ID Verified),Non-Binary,35-44,2.056905619,FALSE,Mobile App (iOS)
val_71,Fatima Abdullahi,Domestic Worker,361,Tier 3 (Address + Income Verified),Prefer Not to Say,55+,88.81561237,TRUE,Mobile App (iOS)
val_72,James Kipkoech,Delivery Rider,671,Tier 2 (ID Verified),Female,25-34,17.39060755,TRUE,USSD
val_73,Amara Nwosu,Informal Vendor,1635,Tier 2 (ID Verified),Prefer Not to Say,25-34,62.48746952,TRUE,Web
val_74,Efua Antwi,Delivery Rider,1400,Tier 1 (Phone Verified),Prefer Not to Say,18-24,57.06183713,FALSE,USSD
val_75,Lydia Chebet,Market Trader,347,Tier 3 (Address + Income Verified),Non-Binary,35-44,62.55294346,TRUE,Mobile App (Android)
val_76,Esther Njeri,Freelance Creative,1025,Tier 0 (Unverified),Non-Binary,25-34,56.34166228,FALSE,Mobile App (iOS)
val_77,Chidinma Okeke,Ride-Hailing Driver,1615,Tier 0 (Unverified),Non-Binary,55+,71.55886774,TRUE,Web
val_78,Kofi Mensah,Logistics Driver (Truck/Van),1737,Tier 0 (Unverified),Female,25-34,62.6109966,TRUE,Mobile App (iOS)
val_79,Nana Adjei,E-commerce Reseller,1393,Tier 1 (Phone Verified),Non-Binary,45-54,9.030024677,TRUE,WhatsApp Bot
